window,train_start,train_end,test_start,risk_on_put_delta,risk_on_call_delta,risk_off_put_delta,risk_off_call_delta,protection_ratio_risk_on,protection_ratio_risk_off,ladder_tenors,purchase_frequency_days,use_put_spreads,use_call_spreads,min_hedge,budget_tiers,train_cagr,train_max_dd,test_cagr,test_max_dd,test_vol,test_sharpe,score
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.25,0.12,0.3,0.7,"[30, 60, 90]",14,False,False,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.013279297998640471,0.008014911005548667,0.12027043975021345,0.027929266690963662,0.059902438016221804,1.2635591646658364,0.12027043975021345
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.25,0.08,0.4,0.7,"[30, 60, 90]",14,False,True,0.4,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.011497003451320653,0.008026787645273176,0.10610602466837782,0.02542162562670338,0.055371102842513724,1.227827966252077,0.10610602466837782
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.2,0.08,0.3,0.7,"[30, 60, 90]",14,False,True,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.013645519959773589,0.008986840718283352,0.1211314876816767,0.02958302646923824,0.06275475750536456,1.2040129200504446,0.1211314876816767
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.3,0.12,0.3,0.7,"[35, 70, 105]",7,True,True,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.02528392025170967,0.01570566487453577,0.2420002841709814,0.04923973601001547,0.10766789299547506,1.369160464095898,0.2420002841709814
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.08,-0.25,0.12,0.3,0.7,"[30, 60, 90]",10,False,False,0.5,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.013277340428114348,0.008019613912674676,0.11881851174563485,0.02601318957250998,0.05685935562600308,1.305488106416938,0.11881851174563485
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.3,0.08,0.3,0.7,"[35, 70, 105]",10,False,True,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.02}",0.012339529465988042,0.008345061630726713,0.10862444116142567,0.029757860515622493,0.06191138825933992,1.1009692927774317,0.10862444116142567
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.2,0.08,0.4,0.7,"[30, 60, 90]",7,False,False,0.5,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.02128082850664681,0.011191033700179046,0.21303897163511643,0.0463788634931279,0.10121714850255235,1.3323724933364143,0.21303897163511643
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.3,0.12,0.3,0.8,"[35, 70, 105]",7,True,False,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.015}",0.024561978948470786,0.014602764184372376,0.23987947812067412,0.047730081931344204,0.10501873105822059,1.4047197040281136,0.23987947812067412
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.15,-0.3,0.12,0.5,0.8,"[35, 70, 105]",7,False,True,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.015}",0.019677337383869897,0.01248339021127404,0.1825744305090209,0.04491026678750565,0.09027043656109476,1.2535748258938302,0.1825744305090209
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.2,0.08,0.3,0.7,"[30, 60, 90]",10,True,True,0.4,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.015}",0.014265161832348827,0.009209115892081135,0.13350907520729893,0.029505233986223293,0.06436776864540512,1.3170334840435336,0.13350907520729893
