config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier,label
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-04-20,2020-04-22,2020-04-22,expiry,2,2823.159912109375,2690,2660,2970,3000,445.24,2554.76,442.64,99.42,17.33,1,0.0,-208.59,43.83,41.98,-1.85,2852.64,3011.83,0.0,0.0,2799.31,-0.8448,4.7167,5.2013,0,4,2020,-2,BEAR,0.0,37,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-05-11,2020-05-13,2020-05-13,expiry,2,2930.18994140625,2840,2810,3025,3055,374.49,2625.51,-1628.11,-434.76,-62.01,0,0.0,-312.26,27.57,35.28,7.71,2729.71,3001.6,1.0,0.0,2820.0,-3.7605,3.078,3.2356,0,5,2020,1,CAUTION,0.25,10,LOSS
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2020-05-20,2020-05-26,2020-05-29,profit_target,6,2971.610107421875,2820,2770,3145,3195,857.45,4142.55,588.53,68.64,14.21,1,633.73,-33.25,27.99,28.01,0.02,2717.83,2999.02,1.0,0.0,2991.77,0.6784,5.102,5.8349,2,5,2020,1,CAUTION,0.25,17,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-06-01,2020-06-04,2020-06-04,expiry,3,3055.72998046875,2950,2920,3170,3200,518.93,2481.07,516.33,99.5,20.81,1,200.89,0.0,28.23,25.81,-2.42,2785.95,3002.97,1.0,1.0,3112.35,1.8529,3.4601,3.7395,0,6,2020,2,CAUTION,0.25,24,WIN
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2020-06-03,2020-06-10,2020-06-12,profit_target,7,3122.8701171875,2975,2925,3290,3340,834.9,4165.1,473.44,56.71,11.37,1,518.64,-294.36,25.66,27.57,1.91,2819.17,3005.31,1.0,1.0,3190.14,2.1541,4.7351,5.3518,2,6,2020,4,NEUTRAL,1.0,2,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-06-08,2020-06-11,2020-06-12,stop_loss,3,3232.389892578125,3115,3085,3365,3395,515.74,2484.26,-2210.05,-428.52,-88.96,0,119.81,-2164.85,25.81,40.79,14.98,2858.89,3009.26,1.0,1.0,3002.1,-7.1244,3.6317,4.1025,0,6,2020,4,NEUTRAL,1.0,5,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-06-09,2020-06-11,2020-06-12,stop_loss,2,3207.179931640625,3090,3060,3335,3365,428.52,2571.48,-2090.08,-487.74,-81.28,0,152.39,-2044.88,27.57,40.79,13.22,2872.2,3010.68,1.0,1.0,3002.1,-6.3944,3.6537,3.9854,1,6,2020,4,NEUTRAL,1.0,6,LOSS
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2020-06-10,2020-06-11,2020-06-19,stop_loss,1,3190.139892578125,3030,2980,3375,3425,865.64,4134.36,-1849.25,-213.63,-44.73,0,0.0,-1804.05,27.57,40.79,13.22,2883.47,3012.39,1.0,1.0,3002.1,-5.8944,5.0198,5.7947,2,6,2020,4,NEUTRAL,1.0,7,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-06-10,2020-06-11,2020-06-15,stop_loss,1,3190.139892578125,3085,3055,3310,3340,520.62,2479.38,-1728.96,-332.1,-69.73,0,0.0,-1683.76,27.57,40.79,13.22,2883.47,3012.39,1.0,1.0,3002.1,-5.8944,3.2958,3.7572,2,6,2020,4,NEUTRAL,1.0,7,LOSS
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2020-06-17,2020-06-22,2020-06-26,profit_target,5,3113.489990234375,2925,2875,3335,3385,903.7,4096.3,519.58,57.49,12.68,1,564.78,0.0,33.47,31.77,-1.7,2935.75,3016.7,1.0,1.0,3117.86,0.1404,6.054,7.1145,2,6,2020,3,CAUTION,0.25,5,WIN
