config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-20,2015-04-21,2015-04-22,profit_target,1,2100.39990234375,2070,2040,2135,2165,175.27,2824.73,78.13,44.57,2.77,1,123.33,0.0,13.3,13.25,-0.05,2085.74,,1.0,,2097.29,-0.1481,1.4473,1.6473,0,4,2015,2,CAUTION,0.25,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-20,2015-04-22,2015-04-23,profit_target,2,2100.39990234375,2065,2035,2140,2170,253.4,2746.6,184.92,72.97,6.73,1,230.12,0.0,13.3,12.71,-0.59,2085.74,,1.0,,2107.96,0.3599,1.6854,1.8854,0,4,2015,2,CAUTION,0.25,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-21,2015-04-23,2015-04-24,profit_target,2,2097.2900390625,2060,2030,2140,2170,204.6,2795.4,119.92,58.61,4.29,1,165.12,0.0,13.25,12.48,-0.77,2086.57,,1.0,,2112.93,0.7457,1.778,2.0364,1,4,2015,2,CAUTION,0.25,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-24,2015-04-27,2015-04-27,expiry,3,2117.68994140625,2095,2065,2140,2170,87.62,2912.38,85.02,97.03,2.92,1,0.0,0.0,12.29,13.12,0.83,2089.67,,1.0,,2108.92,-0.4141,1.0714,1.0535,4,4,2015,2,NEUTRAL,1.0,1
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-27,2015-04-28,2015-04-28,expiry,1,2108.919921875,2085,2055,2130,2160,124.02,2875.98,121.42,97.9,4.22,1,0.0,0.0,13.12,12.41,-0.71,2090.08,,1.0,,2114.76,0.2769,1.1342,0.9996,0,4,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-27,2015-04-28,2015-04-29,profit_target,1,2108.919921875,2080,2050,2140,2170,215.18,2784.82,111.28,51.72,4.0,1,156.48,0.0,13.12,12.41,-0.71,2090.08,,1.0,,2114.76,0.2769,1.3713,1.4737,0,4,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-27,2015-04-28,2015-04-30,profit_target,1,2108.919921875,2070,2040,2150,2180,200.0,2800.0,60.49,30.25,2.16,1,105.69,0.0,13.12,12.41,-0.71,2090.08,,1.0,,2114.76,0.2769,1.8455,1.9479,0,4,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-28,2015-04-30,2015-05-01,stop_loss,2,2114.760009765625,2080,2050,2155,2185,199.14,2800.86,-326.67,-164.04,-11.66,0,8.92,-281.47,12.41,14.55,2.14,2090.43,,1.0,,2085.51,-1.3831,1.6437,1.9028,1,4,2015,2,NEUTRAL,1.0,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-01,2015-05-04,2015-05-04,expiry,3,2108.2900390625,2085,2055,2130,2160,103.52,2896.48,100.92,97.49,3.48,1,0.0,0.0,12.7,12.85,0.15,2090.49,,1.0,,2114.49,0.2941,1.1047,1.0297,4,5,2015,2,CAUTION,0.25,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-04,2015-05-05,2015-05-05,expiry,1,2114.489990234375,2095,2065,2135,2165,163.17,2836.83,-393.43,-241.11,-13.87,0,0.0,0.0,12.85,14.31,1.46,2090.58,,1.0,,2089.46,-1.1837,0.9217,0.97,0,5,2015,2,CAUTION,0.25,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-04,2015-05-05,2015-05-06,stop_loss,1,2114.489990234375,2085,2055,2145,2175,200.3,2799.7,-355.39,-177.43,-12.69,0,0.0,-310.19,12.85,14.31,1.46,2090.58,,1.0,,2089.46,-1.1837,1.3947,1.4429,0,5,2015,2,CAUTION,0.25,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-04,2015-05-05,2015-05-07,stop_loss,1,2114.489990234375,2080,2050,2155,2185,229.38,2770.62,-374.69,-163.35,-13.52,0,0.0,-329.49,12.85,14.31,1.46,2090.58,,1.0,,2089.46,-1.1837,1.6311,1.9158,0,5,2015,2,CAUTION,0.25,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-05,2015-05-07,2015-05-08,profit_target,2,2089.4599609375,2050,2020,2135,2165,227.1,2772.9,155.77,68.59,5.62,1,200.97,0.0,14.31,15.13,0.82,2090.17,,0.0,,2088.0,-0.0699,1.8885,2.1795,1,5,2015,0,CAUTION,0.25,4
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-08,2015-05-11,2015-05-11,expiry,3,2116.10009765625,2095,2065,2140,2170,111.87,2888.13,109.27,97.68,3.78,1,0.0,0.0,12.86,13.85,0.99,2089.06,,1.0,,2105.33,-0.509,0.9971,1.1294,4,5,2015,2,CAUTION,0.25,7
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-11,2015-05-12,2015-05-12,expiry,1,2105.330078125,2080,2050,2130,2160,105.87,2894.13,103.27,97.54,3.57,1,0.0,0.0,13.85,13.86,0.01,2089.07,,1.0,,2099.12,-0.295,1.2031,1.1718,0,5,2015,2,CAUTION,0.25,8
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-05-11,2015-05-12,2015-05-13,profit_target,1,2105.330078125,2075,2045,2140,2170,209.61,2790.39,80.61,38.46,2.89,1,125.81,0.0,13.85,13.86,0.01,2089.07,,1.0,,2099.12,-0.295,1.4406,1.6468,0,5,2015,2,CAUTION,0.25,8
